state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
hm-a10-g1-L3p5-n2-beta0__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta0__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta0,40,-0.02,-0.020000000000000018,1.7325517138401687,1.7325456282936362,1.7325689216749243,7.631862607185552,0.11809712448608703,0.0154742204576503,0.015213866331187376,6.08554653247495e-06,0.015213866331187376,True,48,2.984279490192421e-13,2.984279490192421e-13,6.004086117172847e-13,-1.734723475976807e-17,,9.980028754251512,9.995239978507778,10.995239978507778
hm-a10-g1-L3p5-n2-beta0__N0040__Aminus_0p01,hm-a10-g1-L3p5-n2-beta0__N0040__Aplus_0p01,hm-a10-g1-L3p5-n2-beta0,40,-0.01,-0.010000000000000113,1.732547149665381,1.7325456282936362,1.7325689216749243,7.631862607185552,0.11809712448608703,0.0154742204576503,0.015213717448059327,1.5213717448059327e-06,0.015213717448059327,True,47,3.410605131648481e-13,3.410605131648481e-13,9.2192919964873e-13,-1.1275702593849246e-16,,9.990007200597262,9.997624066890621,10.997624066890621
hm-a10-g1-L3p5-n2-beta0__N0040__Aminus_0p005,hm-a10-g1-L3p5-n2-beta0__N0040__Aplus_0p005,hm-a10-g1-L3p5-n2-beta0,40,-0.005,-0.004999999999999847,1.7325460086353646,1.7325456282936362,1.7325689216749243,7.631862607185552,0.11809712448608703,0.0154742204576503,0.015213669133373742,3.8034172833434354e-07,0.015213669133373742,True,47,4.831690603168681e-13,4.831690603168681e-13,5.435651928564766e-13,1.5352302762394743e-16,,9.995001801657137,9.998813052690052,10.998813052690052
hm-a10-g1-L3p5-n2-beta0__N0040__Aminus_0p0025,hm-a10-g1-L3p5-n2-beta0__N0040__Aplus_0p0025,hm-a10-g1-L3p5-n2-beta0,40,-0.0025,-0.0024999999999998704,1.7325457233779311,1.7325456282936362,1.7325689216749243,7.631862607185552,0.11809712448608703,0.0154742204576503,0.015213487181142682,9.508429488214176e-08,0.015213487181142682,True,47,3.410605131648481e-13,3.410605131648481e-13,6.750155989720952e-13,1.2967057982926633e-16,,9.997500450603177,9.99940678113637,10.99940678113637
hm-a10-g1-L3p5-n2-beta0__N0040__Aplus_0p0025,hm-a10-g1-L3p5-n2-beta0__N0040__Aminus_0p0025,hm-a10-g1-L3p5-n2-beta0,40,0.0025,0.002499999999999978,1.7325457233810153,1.7325456282936362,1.7325689216749243,7.631862607185552,0.11809712448608703,0.0154742204576503,0.015213980653072667,9.508737908170417e-08,0.015213980653072667,True,47,3.836930773104541e-13,3.836930773104541e-13,5.098144129078719e-13,-2.211772431870429e-17,,9.997500450603225,9.999406781136368,10.999406781136368
hm-a10-g1-L3p5-n2-beta0__N0040__Aplus_0p005,hm-a10-g1-L3p5-n2-beta0__N0040__Aminus_0p005,hm-a10-g1-L3p5-n2-beta0,40,0.005,0.005000000000000125,1.7325460086360032,1.7325456282936362,1.7325689216749243,7.631862607185552,0.11809712448608703,0.0154742204576503,0.015213694677385092,3.803423669346273e-07,0.015213694677385092,True,47,3.268496584496461e-13,3.268496584496461e-13,5.559996907322784e-13,1.249000902703301e-16,,9.995001801657184,9.998813052690045,10.998813052690045
hm-a10-g1-L3p5-n2-beta0__N0040__Aplus_0p01,hm-a10-g1-L3p5-n2-beta0__N0040__Aminus_0p01,hm-a10-g1-L3p5-n2-beta0,40,0.01,0.00999999999999991,1.732547149666298,1.7325456282936362,1.7325689216749243,7.631862607185552,0.11809712448608703,0.0154742204576503,0.01521372661850151,1.521372661850151e-06,0.01521372661850151,True,47,4.121147867408581e-13,4.121147867408581e-13,5.666578317686799e-13,-9.020562075079397e-17,,9.990007200597331,9.997624066890634,10.997624066890634
hm-a10-g1-L3p5-n2-beta0__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta0__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta0,40,0.02,0.019999999999999997,1.7325517138404873,1.7325456282936362,1.7325689216749243,7.631862607185552,0.11809712448608703,0.0154742204576503,0.015213867127772396,6.085546851108958e-06,0.015213867127772396,True,49,3.552713678800501e-13,3.552713678800501e-13,5.702105454474804e-13,-3.469446951953614e-18,,9.98002875425157,9.995239978507787,10.995239978507787
hm-a10-g1-L3p5-n2-beta0__N0080__Aminus_0p02,hm-a10-g1-L3p5-n2-beta0__N0080__Aplus_0p02,hm-a10-g1-L3p5-n2-beta0,80,-0.02,-0.01999999999999998,1.7325690121246862,1.7325628484303466,1.7325689216749243,7.631862607185552,0.11809712448608703,0.0154742204576503,0.015409235848973246,6.1636943395892985e-06,0.015409235848973246,True,88,1.4637180356658064e-12,1.4637180356658064e-12,2.097877427331696e-12,2.0816681711721685e-17,,9.980028327138863,9.99524539382429,10.99524539382429
hm-a10-g1-L3p5-n2-beta0__N0080__Aminus_0p01,hm-a10-g1-L3p5-n2-beta0__N0080__Aplus_0p01,hm-a10-g1-L3p5-n2-beta0,80,-0.01,-0.010000000000000096,1.7325643893393363,1.7325628484303466,1.7325689216749243,7.631862607185552,0.11809712448608703,0.0154742204576503,0.015409089897389094,1.5409089897389094e-06,0.015409089897389094,True,87,1.3216094885137863e-12,1.3216094885137863e-12,1.7994494783124537e-12,-9.540979117872439e-17,,9.990007093660289,9.997626815575806,10.997626815575806
