state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,0,0.0,9.979994934446193,9.995237456784269
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,1,0.0875,9.980240441714818,9.995295807065094
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,2,0.175,9.980970971392093,9.995469424986885
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,3,0.26249999999999996,9.982168689463876,9.995754046694012
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,4,0.35,9.983804344141735,9.996142681292437
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,5,0.4375,9.985837962728523,9.99662578128467
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,6,0.5249999999999999,9.988219806352651,9.997191475512727
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,7,0.6124999999999999,9.990891561933118,9.99782585908279
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,8,0.7,9.993787745216311,9.998513333365405
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,9,0.7875,9.996837283540023,9.99923698793229
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,10,0.875,9.999965242255056,9.999979015235928
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,11,0.9624999999999999,10.003094654614005,10.000721147988953
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,12,1.0499999999999998,10.006148411576982,10.001445108581882
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,13,1.1375,10.009051165545827,10.002133059511255
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,14,1.2249999999999999,10.011731200674884,10.002768043691304
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,15,1.3125,10.014122222251471,10.0033344037007
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,16,1.4,10.016165018792975,10.003818169474318
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,17,1.4874999999999998,10.017808953025332,10.004207404682841
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,18,1.575,10.019013241790073,10.00449250303687
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,19,1.6624999999999999,10.01974799011252,10.004666426984823
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,20,1.75,10.019994951027309,10.00472488271508
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,21,1.8375,10.019747990112503,10.004666426984825
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,22,1.9249999999999998,10.019013241790038,10.004492503036875
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,23,2.0124999999999997,10.017808953025282,10.004207404682848
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,24,2.0999999999999996,10.016165018792913,10.003818169474323
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,25,2.1875,10.014122222251402,10.003334403700705
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,26,2.275,10.011731200674813,10.00276804369131
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,27,2.3625,10.00905116554576,10.00213305951126
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,28,2.4499999999999997,10.006148411576921,10.001445108581887
