state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,40,-0.02,-0.020000000000000007,8.230443011547953,8.231062937814867,8.233908114278524,0.2921366150345624,-0.44770052800890203,-1.532503989463748,-1.5498156672855146,-0.0006199262669142058,-1.5498156672855146,True,48,1.9095836023552692e-14,1.9095836023552692e-14,3.1308289294429414e-14,-6.938893903907228e-18,,0.9797446632670861,0.9831666385354807,1.9831666385354807
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p01,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p01,hm-m05-g2-L5p3-n2-beta2,40,-0.01,-0.01,8.230907908750652,8.231062937814867,8.233908114278524,0.2921366150345624,-0.44770052800890203,-1.532503989463748,-1.5502906421538398,-0.00015502906421538398,-1.5502906421538398,True,48,1.9095836023552692e-14,1.9095836023552692e-14,3.241851231905457e-14,0.0,,0.9899360884039993,0.991628901600833,1.991628901600833
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p005,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p005,hm-m05-g2-L5p3-n2-beta2,40,-0.005,-0.004999999999999997,8.231024177578641,8.231062937814867,8.233908114278524,0.2921366150345624,-0.44770052800890203,-1.532503989463748,-1.5504094490381704,-3.876023622595426e-05,-1.5504094490381704,True,94,1.709743457922741e-14,1.709743457922741e-14,2.2870594307278225e-14,3.469446951953614e-18,,0.9949840131861716,0.9958260315660894,1.9958260315660894
hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p0025,hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p0025,hm-m05-g2-L5p3-n2-beta2,40,-0.0025,-0.002500000000000006,8.23105324756873,8.231062937814867,8.233908114278524,0.2921366150345624,-0.44770052800890203,-1.532503989463748,-1.5504393820719997,-9.690246137949998e-06,-1.5504393820719997,True,49,1.687538997430238e-14,1.687538997430238e-14,2.6423307986078726e-14,-6.071532165918825e-18,,0.9974960022297145,0.9979159341605915,1.9979159341605914
hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p0025,hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p0025,hm-m05-g2-L5p3-n2-beta2,40,0.0025,0.002499999999999995,8.231053247573355,8.231062937814867,8.233908114278524,0.2921366150345624,-0.44770052800890203,-1.532503989463748,-1.5504386419706861,-9.690241512316788e-06,-1.5504386419706861,True,50,1.2434497875801753e-14,1.2434497875801753e-14,2.7200464103316335e-14,-5.204170427930421e-18,,0.9974960022297151,0.9979159341605914,1.9979159341605914
hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p005,hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p005,hm-m05-g2-L5p3-n2-beta2,40,0.005,0.00499999999999999,8.231024177581219,8.231062937814867,8.233908114278524,0.2921366150345624,-0.44770052800890203,-1.532503989463748,-1.5504093459384194,-3.8760233648460485e-05,-1.5504093459384194,True,95,1.6209256159527285e-14,1.6209256159527285e-14,2.8199664825478976e-14,-1.0408340855860843e-17,,0.9949840131861719,0.9958260315660863,1.9958260315660863
hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p01,hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p01,hm-m05-g2-L5p3-n2-beta2,40,0.01,0.009999999999999998,8.230907908751755,8.231062937814867,8.233908114278524,0.2921366150345624,-0.44770052800890203,-1.532503989463748,-1.5502906311226639,-0.00015502906311226639,-1.5502906311226639,True,48,1.887379141862766e-14,1.887379141862766e-14,2.731148640577885e-14,-1.734723475976807e-18,,0.9899360884039997,0.991628901600832,1.991628901600832
hm-m05-g2-L5p3-n2-beta2__N0040__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2__N0040__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2,40,0.02,0.019999999999999997,8.230443011548566,8.231062937814867,8.233908114278524,0.2921366150345624,-0.44770052800890203,-1.532503989463748,-1.5498156657534068,-0.0006199262663013627,-1.5498156657534068,True,48,2.020605904817785e-14,2.020605904817785e-14,2.4202861936828413e-14,-3.469446951953614e-18,,0.979744663267087,0.9831666385354804,1.9831666385354803
hm-m05-g2-L5p3-n2-beta2__N0080__Aminus_0p02,hm-m05-g2-L5p3-n2-beta2__N0080__Aplus_0p02,hm-m05-g2-L5p3-n2-beta2,80,-0.02,-0.020000000000000004,8.232580703179437,8.233195251691262,8.233908114278524,0.2921366150345624,-0.44770052800890203,-1.532503989463748,-1.5363712795624096,-0.0006145485118249638,-1.5363712795624096,True,88,9.459100169806334e-14,9.459100169806334e-14,7.283063041541027e-14,-3.469446951953614e-18,,0.9797459645172674,0.9831831788957979,1.9831831788957979
hm-m05-g2-L5p3-n2-beta2__N0080__Aminus_0p01,hm-m05-g2-L5p3-n2-beta2__N0080__Aplus_0p01,hm-m05-g2-L5p3-n2-beta2,80,-0.01,-0.009999999999999998,8.233041569252283,8.233195251691262,8.233908114278524,0.2921366150345624,-0.44770052800890203,-1.532503989463748,-1.5368243897917466,-0.00015368243897917466,-1.5368243897917466,True,179,5.773159728050814e-14,5.773159728050814e-14,6.705747068735946e-14,1.734723475976807e-18,,0.9899364147956128,0.9916367876526659,1.991636787652666
