state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,-0.020000000000000004,4.1064584095121255,4.106285289577251,4.108419313693148,0.5812242949361085,0.2532377728107042,0.43569715687562843,0.43279983718669257,0.00017311993487467703,0.43279983718669257,True,56,8.43769498715119e-15,8.43769498715119e-15,1.9761969838327786e-14,-3.469446951953614e-18,,0.9798746419851979,0.983074782634726,1.9830747826347261
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p01,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p01,hm-m05-g2-L8-n3-beta1,48,-0.01,-0.01,4.106328550480657,4.106285289577251,4.108419313693148,0.5812242949361085,0.2532377728107042,0.43569715687562843,0.43260903406228124,4.3260903406228124e-05,0.43260903406228124,True,56,1.2434497875801753e-14,1.2434497875801753e-14,1.354472090042691e-14,0.0,,0.9899686678804971,0.9915727947395282,1.991572794739528
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p005,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p005,hm-m05-g2-L8-n3-beta1,48,-0.005,-0.0049999999999999975,4.106296103611226,4.106285289577251,4.108419313693148,0.5812242949361085,0.2532377728107042,0.43569715687562843,0.43256135899838455,1.0814033974959614e-05,0.43256135899838455,True,112,8.43769498715119e-15,8.43769498715119e-15,2.1538326677728037e-14,2.6020852139652106e-18,,0.9949921678675456,0.9957953676021207,1.9957953676021207
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p0025,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p0025,hm-m05-g2-L8-n3-beta1,48,-0.0025,-0.0025000000000000135,4.106287993011396,4.106285289577251,4.108419313693148,0.5812242949361085,0.2532377728107042,0.43569715687562843,0.43254946319848386,2.703434144990524e-06,0.43254946319848386,True,109,1.2434497875801753e-14,1.2434497875801753e-14,1.176836406102666e-14,-1.3444106938820255e-17,,0.9974980420776272,0.9978999414507894,1.9978999414507894
hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p0025,hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p0025,hm-m05-g2-L8-n3-beta1,48,0.0025,0.002499999999999986,4.106287993010973,4.106285289577251,4.108419313693148,0.5812242949361085,0.2532377728107042,0.43569715687562843,0.4325493955548154,2.7034337222175964e-06,0.4325493955548154,True,108,8.881784197001252e-15,8.881784197001252e-15,1.3322676295501878e-14,-1.3877787807814457e-17,,0.9974980420776288,0.997899941450793,1.997899941450793
hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p005,hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p005,hm-m05-g2-L8-n3-beta1,48,0.005,0.005000000000000005,4.106296103611042,4.106285289577251,4.108419313693148,0.5812242949361085,0.2532377728107042,0.43569715687562843,0.43256135164426723,1.081403379110668e-05,0.43256135164426723,True,111,1.3322676295501878e-14,1.3322676295501878e-14,1.509903313490213e-14,5.204170427930421e-18,,0.9949921678675441,0.9957953676021204,1.9957953676021205
hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p01,hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p01,hm-m05-g2-L8-n3-beta1,48,0.01,0.010000000000000012,4.106328550480558,4.106285289577251,4.108419313693148,0.5812242949361085,0.2532377728107042,0.43569715687562843,0.4326090330675214,4.326090330675214e-05,0.4326090330675214,True,56,1.6209256159527285e-14,1.6209256159527285e-14,1.199040866595169e-14,1.214306433183765e-17,,0.989968667880501,0.9915727947395309,1.9915727947395307
hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1,48,0.02,0.01999999999999999,4.106458409512013,4.106285289577251,4.108419313693148,0.5812242949361085,0.2532377728107042,0.43569715687562843,0.4327998369046959,0.00017311993476187837,0.4327998369046959,True,58,1.0103029524088925e-14,1.0103029524088925e-14,1.687538997430238e-14,-1.0408340855860843e-17,,0.9798746419851971,0.9830747826347268,1.9830747826347268
hm-m05-g2-L8-n3-beta1__N0096__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0096__Aplus_0p02,hm-m05-g2-L8-n3-beta1,96,-0.02,-0.019999999999999997,4.108057962355182,4.107883895893238,4.108419313693148,0.5812242949361085,0.2532377728107042,0.43569715687562843,0.43516615485961196,0.00017406646194384479,0.43516615485961196,True,104,5.1514348342607263e-14,5.1514348342607263e-14,8.770761894538737e-14,3.469446951953614e-18,,0.9798737544243886,0.9830970922446637,1.9830970922446638
hm-m05-g2-L8-n3-beta1__N0096__Aminus_0p01,hm-m05-g2-L8-n3-beta1__N0096__Aplus_0p01,hm-m05-g2-L8-n3-beta1,96,-0.01,-0.010000000000000004,4.1079273930683495,4.107883895893238,4.108419313693148,0.5812242949361085,0.2532377728107042,0.43569715687562843,0.4349717511153983,4.349717511153983e-05,0.4349717511153983,True,104,4.241051954068098e-14,4.241051954068098e-14,7.949196856316121e-14,-3.469446951953614e-18,,0.9899684458776662,0.9915842403093439,1.991584240309344
