state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,0,0.0,0.979874641985208,0.9830747826347395
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,1,0.16666666666666666,0.9802532847155206,0.9833931224768103
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,2,0.3333333333333333,0.9813753032941427,0.9843363684378046
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,3,0.5,0.983199406326792,0.9858695833577469
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,4,0.6666666666666666,0.9856582307424825,0.9879358124653665
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,5,0.8333333333333333,0.9886605158273692,0.9904579767017353
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,6,1.0,0.9920941201254485,0.9933414843032622
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,7,1.1666666666666665,0.9958298393420923,0.9964775124913382
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,8,1.3333333333333333,0.9997259531073123,0.9997468863340596
hm-m05-g2-L8-n3-beta1__N0048__Aminus_0p02,hm-m05-g2-L8-n3-beta1__N0048__Aplus_0p02,hm-m05-g2-L8-n3-beta1,48,-0.02,9,1.5,1.0036333896820953,1.0030244519828293
