state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,0,0.0,0.9800031745538146,0.9832471997786228
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,1,0.1325,0.980239637625957,0.983447700735496
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,2,0.265,0.9809438976919398,0.9840445858895998
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,3,0.3975,0.9821006299407731,0.9850240859075583
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,4,0.53,0.983684505635466,0.9863635318627931
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,5,0.6625000000000001,0.9856605239389897,0.9880317769779438
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,6,0.795,0.9879845006953468,0.9899897899046587
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,7,0.9275,0.9906037347474912,0.9921914206648726
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,8,1.06,0.9934578731977824,0.9945843383799997
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,9,1.1925000000000001,0.996479994346829,0.9971111364157819
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,10,1.3250000000000002,0.9995979205074184,0.9997105955091019
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,11,1.4575,1.002735762419489,1.0023190889227296
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,12,1.59,1.005815682927082,1.0048721059853754
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,13,1.7225000000000001,1.0087598507193147,1.0073058620015143
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,14,1.855,1.011492536565267,1.0095589541204617
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,15,1.9875,1.0139422862969591,1.0115740151361867
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,16,2.12,1.0160440888205293,1.0132993112146806
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,17,2.2525,1.0177414457480665,1.014690226053751
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,18,2.3850000000000002,1.0189882437274922,1.0157105736742593
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,19,2.5175,1.0197503325910584,1.0163336853803289
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,20,2.6500000000000004,1.020006722659394,1.0165432235318432
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,21,2.7825,1.019750332591059,1.0163336853803298
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,22,2.915,1.0189882437274933,1.015710573674261
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,23,3.0475000000000003,1.0177414457480682,1.0146902260537536
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,24,3.18,1.0160440888205318,1.0132993112146838
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,25,3.3125,1.0139422862969623,1.0115740151361905
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,26,3.4450000000000003,1.0114925365652705,1.009558954120466
xover-m05-g2-L5p3-n2-beta0__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta0__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta0,40,-0.02,27,3.5775,1.0087598507193187,1.007305862001519
