state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,40,-0.02,-0.020000000000000018,16.458265099115167,16.462125875629734,16.467816228557048,0.1460683075172812,-1.3770929710371234,-9.427732780940183,-9.65194128641933,-0.003860776514567732,-9.65194128641933,True,50,1.4654943925052066e-14,1.4654943925052066e-14,4.107825191113079e-14,-1.734723475976807e-17,,0.9796137563456154,0.9831261086097245,1.9831261086097245
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p01,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p01,xover-m05-g2-L5p3-n2-beta3,40,-0.01,-0.009999999999999998,16.46116040585691,16.462125875629734,16.467816228557048,0.1460683075172812,-1.3770929710371234,-9.427732780940183,-9.654697728258554,-0.0009654697728258554,-9.654697728258554,True,48,1.0880185641326534e-14,1.0880185641326534e-14,2.6423307986078726e-14,1.734723475976807e-18,,0.98990341249591,0.9916186129337802,1.99161861293378
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p005,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p005,xover-m05-g2-L5p3-n2-beta3,40,-0.005,-0.004999999999999998,16.461884490950546,16.462125875629734,16.467816228557048,0.1460683075172812,-1.3770929710371234,-9.427732780940183,-9.655387167555318,-0.00024138467918888296,-9.655387167555318,True,96,1.84297022087776e-14,1.84297022087776e-14,2.930988785010413e-14,1.734723475976807e-18,,0.9949758517166962,0.9958234402093573,1.9958234402093573
xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p0025,xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p0025,xover-m05-g2-L5p3-n2-beta3,40,-0.0025,-0.00250000000000001,16.462065528378847,16.462125875629734,16.467816228557048,0.1460683075172812,-1.3770929710371234,-9.427732780940183,-9.655560141936803,-6.034725088710502e-05,-9.655560141936803,True,92,2.6423307986078726e-14,2.6423307986078726e-14,2.7755575615628914e-14,-9.974659986866641e-18,,0.9974939628718236,0.9979152839437966,1.9979152839437966
xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p0025,xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p0025,xover-m05-g2-L5p3-n2-beta3,40,0.0025,0.0025000000000000183,16.462065528389086,16.462125875629734,16.467816228557048,0.1460683075172812,-1.3770929710371234,-9.427732780940183,-9.655558503709472,-6.03472406481842e-05,-9.655558503709472,True,94,1.2323475573339238e-14,1.2323475573339238e-14,3.26405569239796e-14,1.8214596497756474e-17,,0.9974939628718242,0.9979152839437964,1.9979152839437964
xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p005,xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p005,xover-m05-g2-L5p3-n2-beta3,40,0.005,0.0050000000000000044,16.461884490955626,16.462125875629734,16.467816228557048,0.1460683075172812,-1.3770929710371234,-9.427732780940183,-9.655386964340096,-0.0002413846741085024,-9.655386964340096,True,96,1.554312234475219e-14,1.554312234475219e-14,2.5091040356528538e-14,4.336808689942018e-18,,0.9949758517166962,0.9958234402093565,1.9958234402093566
xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p01,xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p01,xover-m05-g2-L5p3-n2-beta3,40,0.01,0.009999999999999992,16.46116040585948,16.462125875629734,16.467816228557048,0.1460683075172812,-1.3770929710371234,-9.427732780940183,-9.654697702536907,-0.0009654697702536907,-9.654697702536907,True,48,1.7541523789077473e-14,1.7541523789077473e-14,3.019806626980426e-14,-8.673617379884035e-18,,0.9899034124959102,0.9916186129337791,1.9916186129337792
xover-m05-g2-L5p3-n2-beta3__N0040__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3__N0040__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3,40,0.02,0.020000000000000018,16.45826509911636,16.462125875629734,16.467816228557048,0.1460683075172812,-1.3770929710371234,-9.427732780940183,-9.65194128343505,-0.00386077651337402,-9.65194128343505,True,50,1.9539925233402755e-14,1.9539925233402755e-14,2.353672812205332e-14,1.734723475976807e-17,,0.9796137563456156,0.9831261086097235,1.9831261086097234
xover-m05-g2-L5p3-n2-beta3__N0080__Aminus_0p02,xover-m05-g2-L5p3-n2-beta3__N0080__Aplus_0p02,xover-m05-g2-L5p3-n2-beta3,80,-0.02,-0.019999999999999997,16.46259800625006,16.466390503382524,16.467816228557048,0.1460683075172812,-1.3770929710371234,-9.427732780940183,-9.481242831155257,-0.0037924971324621026,-9.481242831155257,True,90,6.994405055138486e-14,6.994405055138486e-14,8.859579736508749e-14,3.469446951953614e-18,,0.9796169553439514,0.9831449637193318,1.9831449637193317
xover-m05-g2-L5p3-n2-beta3__N0080__Aminus_0p01,xover-m05-g2-L5p3-n2-beta3__N0080__Aplus_0p01,xover-m05-g2-L5p3-n2-beta3,80,-0.01,-0.009999999999999983,16.465442127475896,16.466390503382524,16.467816228557048,0.1460683075172812,-1.3770929710371234,-9.427732780940183,-9.483759066277742,-0.0009483759066277742,-9.483759066277742,True,88,7.460698725481052e-14,7.460698725481052e-14,9.71445146547012e-14,1.734723475976807e-17,,0.98990421199479,0.9916270813027934,1.9916270813027934
