state_id,reflection_partner_id,case,mesh,requested_amplitude,measured_amplitude,chi,chi_star_disc,chi_star_continuum,alpha_n0,beta_n0,theory_c2,point_c2,delta_chi,delta_chi_over_amplitude_squared,solver_success,function_evaluations,system_residual_max,full_stationary_residual_max,elliptic_residual_max,amplitude_error,mass_constraint_error,u_min,v_min,sensitivity_denominator_min
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,-0.019999999999999893,2.1878298367617717,2.1878264884424605,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008370798277868019,3.3483193111472076e-06,0.008370798277868019,True,49,4.405364961712621e-12,4.405364961712621e-12,6.5352168121535215e-12,1.0755285551056204e-16,,9.980001208889144,9.998139732522926,10.998139732522926
nonminimal-a10-beta0__N0040__Aminus_0p01,nonminimal-a10-beta0__N0040__Aplus_0p01,nonminimal-a10-beta0,40,-0.01,-0.009999999999999953,2.1878273255209364,2.1878264884424605,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008370784758682248,8.370784758682248e-07,0.008370784758682248,True,47,4.419575816427823e-12,4.419575816427823e-12,6.284750497798086e-12,4.683753385137379e-17,,9.990000304680738,9.999074720065686,10.999074720065686
nonminimal-a10-beta0__N0040__Aminus_0p005,nonminimal-a10-beta0__N0040__Aplus_0p005,nonminimal-a10-beta0,40,-0.005,-0.005000000000000168,2.187826697717011,2.1878264884424605,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008370982023109264,2.092745505777316e-07,0.008370982023109264,True,47,4.575895218295045e-12,4.575895218295045e-12,5.192291041566932e-12,-1.682681771697503e-16,,9.99500007647448,9.999538573467692,10.999538573467692
nonminimal-a10-beta0__N0040__Aminus_0p0025,nonminimal-a10-beta0__N0040__Aplus_0p0025,nonminimal-a10-beta0,40,-0.0025,-0.002500000000000075,2.187826540768144,2.1878264884424605,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008372109334686684,5.232568334179177e-08,0.008372109334686684,True,47,4.675371201301459e-12,4.675371201301459e-12,5.10880227011512e-12,-7.502679033599691e-17,,9.997500019153744,9.999769590090034,10.999769590090034
nonminimal-a10-beta0__N0040__Aplus_0p0025,nonminimal-a10-beta0__N0040__Aminus_0p0025,nonminimal-a10-beta0,40,0.0025,0.0024999999999999983,2.1878265407519852,2.1878264884424605,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008369523953888347,5.230952471180217e-08,0.008369523953888347,True,47,4.746425474877469e-12,4.746425474877469e-12,7.128519996513205e-12,-1.734723475976807e-18,,9.997500019153746,9.999769590090052,10.999769590090052
nonminimal-a10-beta0__N0040__Aplus_0p005,nonminimal-a10-beta0__N0040__Aminus_0p005,nonminimal-a10-beta0,40,0.005,0.00500000000000012,2.1878266977089007,2.1878264884424605,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008370657607059684,2.092664401764921e-07,0.008370657607059684,True,47,4.689582056016661e-12,4.689582056016661e-12,6.6062710857295315e-12,1.196959198423997e-16,,9.995000076474472,9.999538573467698,10.999538573467698
nonminimal-a10-beta0__N0040__Aplus_0p01,nonminimal-a10-beta0__N0040__Aminus_0p01,nonminimal-a10-beta0,40,0.01,0.010000000000000092,2.1878273255169276,2.1878264884424605,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008370744670749275,8.370744670749275e-07,0.008370744670749275,True,47,5.073275133327115e-12,5.073275133327115e-12,5.481837206389173e-12,9.194034422677078e-17,,9.990000304680743,9.999074720065698,10.999074720065698
nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0,40,0.02,0.019999999999999844,2.1878298367595743,2.1878264884424605,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008370792784484493,3.3483171137937973e-06,0.008370792784484493,True,49,3.936406756110955e-12,3.936406756110955e-12,5.38946665074036e-12,-1.5612511283791264e-16,,9.980001208889137,9.99813973252293,10.99813973252293
nonminimal-a10-beta0__N0080__Aminus_0p02,nonminimal-a10-beta0__N0080__Aplus_0p02,nonminimal-a10-beta0,80,-0.02,-0.019999999999999987,2.1881711820705445,2.188167817354364,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008411790450857382,3.3647161803429526e-06,0.008411790450857382,True,88,1.766409241099609e-11,1.766409241099609e-11,3.778133361720393e-11,1.3877787807814457e-17,,9.980001142083308,9.998140329618339,10.998140329618339
nonminimal-a10-beta0__N0080__Aminus_0p01,nonminimal-a10-beta0__N0080__Aplus_0p01,nonminimal-a10-beta0,80,-0.01,-0.00999999999999999,2.188168658518897,2.188167817354364,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008411645326944495,8.411645326944495e-07,0.008411645326944495,True,87,1.816147232602816e-11,1.816147232602816e-11,2.6206592451671895e-11,1.0408340855860843e-17,,9.99000028796513,9.999075030415872,10.999075030415872
nonminimal-a10-beta0__N0080__Aminus_0p005,nonminimal-a10-beta0__N0080__Aplus_0p005,nonminimal-a10-beta0,80,-0.005,-0.004999999999999928,2.1881680276199957,2.188167817354364,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008410625262911253,2.1026563157278133e-07,0.008410625262911253,True,87,1.837463514675619e-11,1.837463514675619e-11,2.6194157953796093e-11,7.19910242530375e-17,,9.995000072286514,9.999538731591192,10.999538731591192
nonminimal-a10-beta0__N0080__Aminus_0p0025,nonminimal-a10-beta0__N0080__Aplus_0p0025,nonminimal-a10-beta0,80,-0.0025,-0.0025000000000000022,2.1881678698705502,2.188167817354364,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008402589770639679,5.2516186066497994e-08,0.008402589770639679,True,87,1.8047785488306545e-11,1.8047785488306545e-11,2.9388047551037744e-11,-2.168404344971009e-18,,9.997500018098375,9.999769669886742,10.999769669886742
nonminimal-a10-beta0__N0080__Aplus_0p0025,nonminimal-a10-beta0__N0080__Aminus_0p0025,nonminimal-a10-beta0,80,0.0025,0.0024999999999998725,2.188167869989303,2.188167817354364,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.00842159018077382,5.263493862983637e-08,0.00842159018077382,True,265,1.638511548662791e-11,1.638511548662791e-11,2.9249491717564524e-11,-1.2750217548429532e-16,,9.997500018098366,9.999769669886595,10.999769669886595
nonminimal-a10-beta0__N0080__Aplus_0p005,nonminimal-a10-beta0__N0080__Aminus_0p005,nonminimal-a10-beta0,80,0.005,0.004999999999999858,2.1881680276835196,2.188167817354364,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008413166217025037,2.1032915542562591e-07,0.008413166217025037,True,87,1.872990651463624e-11,1.872990651463624e-11,2.9061197892588098e-11,-1.4224732503009818e-16,,9.995000072286514,9.99953873159107,10.99953873159107
nonminimal-a10-beta0__N0080__Aplus_0p01,nonminimal-a10-beta0__N0080__Aminus_0p01,nonminimal-a10-beta0,80,0.01,0.009999999999999964,2.188168658548733,2.188167817354364,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008411943688280132,8.411943688280132e-07,0.008411943688280132,True,87,1.7564616427989677e-11,1.7564616427989677e-11,2.1245227799226996e-11,-3.642919299551295e-17,,9.99000028796511,9.999075030415712,10.999075030415712
nonminimal-a10-beta0__N0080__Aplus_0p02,nonminimal-a10-beta0__N0080__Aminus_0p02,nonminimal-a10-beta0,80,0.02,0.01999999999999996,2.18817118208619,2.188167817354364,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008411829565124762,3.364731826049905e-06,0.008411829565124762,True,88,1.7195134205394424e-11,1.7195134205394424e-11,3.185363084412529e-11,-4.163336342344337e-17,,9.980001142083314,9.99814032961822,10.99814032961822
nonminimal-a10-beta0__N0160__Aminus_0p02,nonminimal-a10-beta0__N0160__Aplus_0p02,nonminimal-a10-beta0,160,-0.02,-0.019999999999999976,2.188256539611287,2.188253170741356,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008422174827549256,3.3688699310197023e-06,0.008422174827549256,True,169,7.054268280626275e-11,7.054268280626275e-11,9.64526236657548e-11,2.42861286636753e-17,,9.980001125383861,9.998140478846182,10.998140478846182
nonminimal-a10-beta0__N0160__Aminus_0p01,nonminimal-a10-beta0__N0160__Aplus_0p01,nonminimal-a10-beta0,160,-0.01,-0.010000000000000139,2.1882540130307486,2.188253170741356,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.00842289392455342,8.422893924553421e-07,0.00842289392455342,True,167,6.980371836107224e-11,6.980371836107224e-11,1.0458300891968975e-10,-1.3877787807814457e-16,,9.990000283788774,9.999075107982806,10.999075107982806
nonminimal-a10-beta0__N0160__Aminus_0p005,nonminimal-a10-beta0__N0160__Aplus_0p005,nonminimal-a10-beta0,160,-0.005,-0.004999999999999907,2.188253381458722,2.188253170741356,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008428694631135158,2.1071736577837896e-07,0.008428694631135158,True,167,8.50945980346296e-11,8.50945980346296e-11,1.0082068513384002e-10,9.280770596475918e-17,,9.995000071242215,9.999538771112789,10.999538771112789
nonminimal-a10-beta0__N0160__Aminus_0p0025,nonminimal-a10-beta0__N0160__Aplus_0p0025,nonminimal-a10-beta0,160,-0.0025,-0.002499999999999976,2.1882532237139483,2.188253170741356,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.00847561473449332,5.297259209058325e-08,0.00847561473449332,True,167,7.788969469402218e-11,7.788969469402218e-11,8.962430797510024e-11,2.3852447794681098e-17,,9.997500017837242,9.999769689831881,10.999769689831881
nonminimal-a10-beta0__N0160__Aplus_0p0025,nonminimal-a10-beta0__N0160__Aminus_0p0025,nonminimal-a10-beta0,160,0.0025,0.002499999999999862,2.1882532230536156,2.188253170741356,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008369961506105028,5.2312259413156426e-08,0.008369961506105028,True,167,6.977529665164184e-11,6.977529665164184e-11,1.0151879337172431e-10,-1.3791051634015616e-16,,9.997500017837224,9.999769689832585,10.999769689832585
nonminimal-a10-beta0__N0160__Aplus_0p005,nonminimal-a10-beta0__N0160__Aminus_0p005,nonminimal-a10-beta0,160,0.005,0.00500000000000003,2.188253381124968,2.188253170741356,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008415344474599351,2.1038361186498378e-07,0.008415344474599351,True,167,8.08597633294994e-11,8.08597633294994e-11,1.1404210908949608e-10,2.949029909160572e-17,,9.995000071242224,9.999538771113519,10.999538771113519
nonminimal-a10-beta0__N0160__Aplus_0p01,nonminimal-a10-beta0__N0160__Aminus_0p01,nonminimal-a10-beta0,160,0.01,0.009999999999999974,2.1882540128639305,2.188253170741356,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008421225743404648,8.421225743404648e-07,0.008421225743404648,True,167,8.098766102193622e-11,8.098766102193622e-11,1.1111467301816447e-10,-2.6020852139652106e-17,,9.990000283788772,9.999075107983542,10.999075107983542
nonminimal-a10-beta0__N0160__Aplus_0p02,nonminimal-a10-beta0__N0160__Aminus_0p02,nonminimal-a10-beta0,160,0.02,0.020000000000000046,2.188256539527902,2.188253170741356,2.1882816237512737,9.080003316496247,0.07650308051520315,0.00842544631852886,0.008421966364302591,3.3687865457210364e-06,0.008421966364302591,True,167,7.686651315452764e-11,7.686651315452764e-11,1.1009149147866992e-10,4.5102810375396984e-17,,9.980001125383868,9.99814047884691,10.99814047884691
nonminimal-beta3__N0040__Aminus_0p02,nonminimal-beta3__N0040__Aplus_0p02,nonminimal-beta3,40,-0.02,-0.020000000000000014,95.7195150109161,95.7272426962711,95.76740467785358,0.1135000414562031,-2.232172436126313,-19.666710315587455,-19.31921338751863,-0.007727685355007452,-19.31921338751863,True,48,4.560796185160143e-13,4.560796185160143e-13,5.948574965941589e-13,-1.3877787807814457e-17,,0.9799256002227402,0.9979650357456292,1.9979650357456293
nonminimal-beta3__N0040__Aminus_0p01,nonminimal-beta3__N0040__Aplus_0p01,nonminimal-beta3,40,-0.01,-0.010000000000000005,95.72531082392938,95.7272426962711,95.76740467785358,0.1135000414562031,-2.232172436126313,-19.666710315587455,-19.318723417285355,-0.0019318723417285355,-19.318723417285355,True,99,4.627409566637652e-13,4.627409566637652e-13,7.973621762857874e-13,-5.204170427930421e-18,,0.989981477844194,0.999031055070417,1.9990310550704171
