state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,0,0.0,9.980001208889144,9.998139732522926
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,1,0.025,9.980062602151785,9.998145400811561
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,2,0.05,9.980246408213468,9.998162370849357
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,3,0.07500000000000001,9.980551508082634,9.9981905383638
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,4,0.1,9.980976044053264,9.99822973027217
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,5,0.125,9.981517430587491,9.998279705734422
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,6,0.15000000000000002,9.982172369476688,9.998340157618639
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,7,0.17500000000000002,9.982936869206492,9.998410714370443
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,8,0.2,9.983806268429923,9.998490942275478
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,9,0.225,9.984775263431459,9.998580348101664
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,10,0.25,9.98583793944376,9.998678382105767
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,11,0.275,9.98698780565764,9.998784441386531
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,12,0.30000000000000004,9.988217833744914,9.998897873564626
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,13,0.325,9.989520499693198,9.999017980767608
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,14,0.35000000000000003,9.990887828731287,9.999144023896259
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,15,0.375,9.992311443104038,9.999275227146887
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,16,0.4,9.993782612436398,9.99941078276254
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,17,0.42500000000000004,9.995292306407764,9.999549855984647
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,18,0.45,9.996831249440413,9.999691590175235
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,19,0.47500000000000003,9.998389977089253,9.999835112078785
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,20,0.5,9.999958893805173,9.999979537191699
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,21,0.525,10.001528331730611,10.00012397520673
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,22,0.55,10.003088610174224,10.000267535498931
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,23,0.5750000000000001,10.004630095401538,10.00040933261946
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,24,0.6000000000000001,10.00614326037074,10.000548491763249
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,25,0.625,10.00761874403731,10.000684154176655
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,26,0.65,10.009047409848192,10.000815482471397
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,27,0.675,10.010420403045924,10.000941665811528
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,28,0.7000000000000001,10.011729206405645,10.001061924940885
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,29,0.7250000000000001,10.012965694033264,10.001175517019323
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,30,0.75,10.014122182861426,10.001281740237127
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,31,0.775,10.015191481491328,10.00137993817829
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,32,0.8,10.016166936042834,10.00146950390488
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,33,0.8250000000000001,10.017042472692696,10.001549883736384
nonminimal-a10-beta0__N0040__Aminus_0p02,nonminimal-a10-beta0__N0040__Aplus_0p02,nonminimal-a10-beta0,40,-0.02,34,0.8500000000000001,10.017812636601032,10.001620580699788
